entidad,anio_mes,visitas,entidad_federativa,fecha,entidad_etq
Aguascalientes,2017-09,26,Aguascalientes,01/09/2017,Aguascalientes
Baja California,2017-09,306,Baja California,01/09/2017,Baja California
Baja California Sur,2017-09,51,Baja California Sur,01/09/2017,Baja California Sur
Campeche,2017-09,36,Campeche,01/09/2017,Campeche
Chiapas,2017-09,86,Chiapas,01/09/2017,Chiapas
Chihuahua,2017-09,34,Chihuahua,01/09/2017,Chihuahua
Coahuila de Zaragoza,2017-09,38,Coahuila,01/09/2017,Coahuila
Colima,2017-09,46,Colima,01/09/2017,Colima
Ciudad de México,2017-09,45,Ciudad de México,01/09/2017,Ciudad de México
Durango,2017-09,10,Durango,01/09/2017,Durango
México,2017-09,18,México,01/09/2017,Estado de México
Guanajuato,2017-09,19,Guanajuato,01/09/2017,Guanajuato
Guerrero,2017-09,110,Guerrero,01/09/2017,Guerrero
Hidalgo,2017-09,56,Hidalgo,01/09/2017,Hidalgo
Jalisco,2017-09,21,Jalisco,01/09/2017,Jalisco
Michoacán de Ocampo,2017-09,37,Michoacán,01/09/2017,Michoacán
Morelos,2017-09,43,Morelos,01/09/2017,Morelos
Nayarit,2017-09,88,Nayarit,01/09/2017,Nayarit
Nuevo León,2017-09,83,Nuevo León,01/09/2017,Nuevo León
Oaxaca,2017-09,0,Oaxaca,01/09/2017,Oaxaca
Puebla,2017-09,38,Puebla,01/09/2017,Puebla
Querétaro,2017-09,25,Querétaro,01/09/2017,Querétaro
Quintana Roo,2017-09,34,Quintana Roo,01/09/2017,Quintana Roo
San Luis Potosí,2017-09,3,San Luis Potosí,01/09/2017,San Luis Potosí
Sinaloa,2017-09,51,Sinaloa,01/09/2017,Sinaloa
Sonora,2017-09,44,Sonora,01/09/2017,Sonora
Tabasco,2017-09,38,Tabasco,01/09/2017,Tabasco
Tamaulipas,2017-09,144,Tamaulipas,01/09/2017,Tamaulipas
Tlaxcala,2017-09,24,Tlaxcala,01/09/2017,Tlaxcala
Veracruz de Ignacio de la Llave,2017-09,60,Veracruz,01/09/2017,Veracruz
Yucatán,2017-09,0,Yucatán,01/09/2017,Yucatán
Zacatecas,2017-09,0,Zacatecas,01/09/2017,Zacatecas
Aguascalientes,2017-10,50,Aguascalientes,01/10/2017,Aguascalientes
Baja California,2017-10,400,Baja California,01/10/2017,Baja California
Baja California Sur,2017-10,67,Baja California Sur,01/10/2017,Baja California Sur
Campeche,2017-10,35,Campeche,01/10/2017,Campeche
Chiapas,2017-10,86,Chiapas,01/10/2017,Chiapas
Chihuahua,2017-10,46,Chihuahua,01/10/2017,Chihuahua
Coahuila de Zaragoza,2017-10,46,Coahuila,01/10/2017,Coahuila
Colima,2017-10,41,Colima,01/10/2017,Colima
Ciudad de México,2017-10,86,Ciudad de México,01/10/2017,Ciudad de México
Durango,2017-10,13,Durango,01/10/2017,Durango
México,2017-10,27,México,01/10/2017,Estado de México
Guanajuato,2017-10,20,Guanajuato,01/10/2017,Guanajuato
Guerrero,2017-10,121,Guerrero,01/10/2017,Guerrero
Hidalgo,2017-10,56,Hidalgo,01/10/2017,Hidalgo
Jalisco,2017-10,6,Jalisco,01/10/2017,Jalisco
Michoacán de Ocampo,2017-10,32,Michoacán,01/10/2017,Michoacán
Morelos,2017-10,80,Morelos,01/10/2017,Morelos
Nayarit,2017-10,46,Nayarit,01/10/2017,Nayarit
Nuevo León,2017-10,79,Nuevo León,01/10/2017,Nuevo León
Oaxaca,2017-10,0,Oaxaca,01/10/2017,Oaxaca
Puebla,2017-10,19,Puebla,01/10/2017,Puebla
Querétaro,2017-10,22,Querétaro,01/10/2017,Querétaro
Quintana Roo,2017-10,23,Quintana Roo,01/10/2017,Quintana Roo
San Luis Potosí,2017-10,14,San Luis Potosí,01/10/2017,San Luis Potosí
Sinaloa,2017-10,48,Sinaloa,01/10/2017,Sinaloa
Sonora,2017-10,25,Sonora,01/10/2017,Sonora
Tabasco,2017-10,40,Tabasco,01/10/2017,Tabasco
Tamaulipas,2017-10,124,Tamaulipas,01/10/2017,Tamaulipas
Tlaxcala,2017-10,29,Tlaxcala,01/10/2017,Tlaxcala
Veracruz de Ignacio de la Llave,2017-10,92,Veracruz,01/10/2017,Veracruz
Yucatán,2017-10,0,Yucatán,01/10/2017,Yucatán
Zacatecas,2017-10,20,Zacatecas,01/10/2017,Zacatecas
Aguascalientes,2017-11,29,Aguascalientes,01/11/2017,Aguascalientes
Baja California,2017-11,306,Baja California,01/11/2017,Baja California
Baja California Sur,2017-11,58,Baja California Sur,01/11/2017,Baja California Sur
Campeche,2017-11,33,Campeche,01/11/2017,Campeche
Chiapas,2017-11,71,Chiapas,01/11/2017,Chiapas
Chihuahua,2017-11,43,Chihuahua,01/11/2017,Chihuahua
Coahuila de Zaragoza,2017-11,45,Coahuila,01/11/2017,Coahuila
Colima,2017-11,48,Colima,01/11/2017,Colima
Ciudad de México,2017-11,109,Ciudad de México,01/11/2017,Ciudad de México
Durango,2017-11,9,Durango,01/11/2017,Durango
México,2017-11,60,México,01/11/2017,Estado de México
Guanajuato,2017-11,21,Guanajuato,01/11/2017,Guanajuato
Guerrero,2017-11,113,Guerrero,01/11/2017,Guerrero
Hidalgo,2017-11,71,Hidalgo,01/11/2017,Hidalgo
Jalisco,2017-11,0,Jalisco,01/11/2017,Jalisco
Michoacán de Ocampo,2017-11,36,Michoacán,01/11/2017,Michoacán
Morelos,2017-11,61,Morelos,01/11/2017,Morelos
Nayarit,2017-11,61,Nayarit,01/11/2017,Nayarit
Nuevo León,2017-11,77,Nuevo León,01/11/2017,Nuevo León
Oaxaca,2017-11,0,Oaxaca,01/11/2017,Oaxaca
Puebla,2017-11,88,Puebla,01/11/2017,Puebla
Querétaro,2017-11,18,Querétaro,01/11/2017,Querétaro
Quintana Roo,2017-11,68,Quintana Roo,01/11/2017,Quintana Roo
San Luis Potosí,2017-11,12,San Luis Potosí,01/11/2017,San Luis Potosí
Sinaloa,2017-11,50,Sinaloa,01/11/2017,Sinaloa
Sonora,2017-11,24,Sonora,01/11/2017,Sonora
Tabasco,2017-11,38,Tabasco,01/11/2017,Tabasco
Tamaulipas,2017-11,125,Tamaulipas,01/11/2017,Tamaulipas
Tlaxcala,2017-11,18,Tlaxcala,01/11/2017,Tlaxcala
Veracruz de Ignacio de la Llave,2017-11,78,Veracruz,01/11/2017,Veracruz
Yucatán,2017-11,0,Yucatán,01/11/2017,Yucatán
Zacatecas,2017-11,19,Zacatecas,01/11/2017,Zacatecas
Aguascalientes,2017-12,22,Aguascalientes,01/12/2017,Aguascalientes
Baja California,2017-12,291,Baja California,01/12/2017,Baja California
Baja California Sur,2017-12,46,Baja California Sur,01/12/2017,Baja California Sur
Campeche,2017-12,22,Campeche,01/12/2017,Campeche
Chiapas,2017-12,54,Chiapas,01/12/2017,Chiapas
Chihuahua,2017-12,42,Chihuahua,01/12/2017,Chihuahua
Coahuila de Zaragoza,2017-12,34,Coahuila,01/12/2017,Coahuila
Colima,2017-12,38,Colima,01/12/2017,Colima
Ciudad de México,2017-12,44,Ciudad de México,01/12/2017,Ciudad de México
Durango,2017-12,9,Durango,01/12/2017,Durango
México,2017-12,35,México,01/12/2017,Estado de México
Guanajuato,2017-12,16,Guanajuato,01/12/2017,Guanajuato
Guerrero,2017-12,99,Guerrero,01/12/2017,Guerrero
Hidalgo,2017-12,51,Hidalgo,01/12/2017,Hidalgo
Jalisco,2017-12,70,Jalisco,01/12/2017,Jalisco
Michoacán de Ocampo,2017-12,28,Michoacán,01/12/2017,Michoacán
Morelos,2017-12,45,Morelos,01/12/2017,Morelos
Nayarit,2017-12,39,Nayarit,01/12/2017,Nayarit
Nuevo León,2017-12,53,Nuevo León,01/12/2017,Nuevo León
Oaxaca,2017-12,0,Oaxaca,01/12/2017,Oaxaca
Puebla,2017-12,30,Puebla,01/12/2017,Puebla
Querétaro,2017-12,21,Querétaro,01/12/2017,Querétaro
Quintana Roo,2017-12,43,Quintana Roo,01/12/2017,Quintana Roo
San Luis Potosí,2017-12,12,San Luis Potosí,01/12/2017,San Luis Potosí
Sinaloa,2017-12,46,Sinaloa,01/12/2017,Sinaloa
Sonora,2017-12,21,Sonora,01/12/2017,Sonora
Tabasco,2017-12,36,Tabasco,01/12/2017,Tabasco
Tamaulipas,2017-12,107,Tamaulipas,01/12/2017,Tamaulipas
Tlaxcala,2017-12,7,Tlaxcala,01/12/2017,Tlaxcala
Veracruz de Ignacio de la Llave,2017-12,47,Veracruz,01/12/2017,Veracruz
Yucatán,2017-12,0,Yucatán,01/12/2017,Yucatán
Zacatecas,2017-12,18,Zacatecas,01/12/2017,Zacatecas
Aguascalientes,2018-01,31,Aguascalientes,01/01/2018,Aguascalientes
Baja California,2018-01,336,Baja California,01/01/2018,Baja California
Baja California Sur,2018-01,47,Baja California Sur,01/01/2018,Baja California Sur
Campeche,2018-01,21,Campeche,01/01/2018,Campeche
Chiapas,2018-01,83,Chiapas,01/01/2018,Chiapas
Chihuahua,2018-01,34,Chihuahua,01/01/2018,Chihuahua
Coahuila de Zaragoza,2018-01,37,Coahuila,01/01/2018,Coahuila
Colima,2018-01,48,Colima,01/01/2018,Colima
Ciudad de México,2018-01,86,Ciudad de México,01/01/2018,Ciudad de México
Durango,2018-01,8,Durango,01/01/2018,Durango
México,2018-01,39,México,01/01/2018,Estado de México
Guanajuato,2018-01,8,Guanajuato,01/01/2018,Guanajuato
Guerrero,2018-01,110,Guerrero,01/01/2018,Guerrero
Hidalgo,2018-01,52,Hidalgo,01/01/2018,Hidalgo
Jalisco,2018-01,59,Jalisco,01/01/2018,Jalisco
Michoacán de Ocampo,2018-01,30,Michoacán,01/01/2018,Michoacán
Morelos,2018-01,45,Morelos,01/01/2018,Morelos
Nayarit,2018-01,70,Nayarit,01/01/2018,Nayarit
Nuevo León,2018-01,45,Nuevo León,01/01/2018,Nuevo León
Oaxaca,2018-01,10,Oaxaca,01/01/2018,Oaxaca
Puebla,2018-01,63,Puebla,01/01/2018,Puebla
Querétaro,2018-01,25,Querétaro,01/01/2018,Querétaro
Quintana Roo,2018-01,34,Quintana Roo,01/01/2018,Quintana Roo
San Luis Potosí,2018-01,12,San Luis Potosí,01/01/2018,San Luis Potosí
Sinaloa,2018-01,56,Sinaloa,01/01/2018,Sinaloa
Sonora,2018-01,17,Sonora,01/01/2018,Sonora
Tabasco,2018-01,40,Tabasco,01/01/2018,Tabasco
Tamaulipas,2018-01,100,Tamaulipas,01/01/2018,Tamaulipas
Tlaxcala,2018-01,14,Tlaxcala,01/01/2018,Tlaxcala
Veracruz de Ignacio de la Llave,2018-01,62,Veracruz,01/01/2018,Veracruz
Yucatán,2018-01,20,Yucatán,01/01/2018,Yucatán
Zacatecas,2018-01,17,Zacatecas,01/01/2018,Zacatecas
Aguascalientes,2018-02,26,Aguascalientes,01/02/2018,Aguascalientes
Baja California,2018-02,369,Baja California,01/02/2018,Baja California
Baja California Sur,2018-02,62,Baja California Sur,01/02/2018,Baja California Sur
Campeche,2018-02,30,Campeche,01/02/2018,Campeche
Chiapas,2018-02,85,Chiapas,01/02/2018,Chiapas
Chihuahua,2018-02,42,Chihuahua,01/02/2018,Chihuahua
Coahuila de Zaragoza,2018-02,45,Coahuila,01/02/2018,Coahuila
Colima,2018-02,47,Colima,01/02/2018,Colima
Ciudad de México,2018-02,89,Ciudad de México,01/02/2018,Ciudad de México
Durango,2018-02,15,Durango,01/02/2018,Durango
México,2018-02,25,México,01/02/2018,Estado de México
Guanajuato,2018-02,11,Guanajuato,01/02/2018,Guanajuato
Guerrero,2018-02,106,Guerrero,01/02/2018,Guerrero
Hidalgo,2018-02,36,Hidalgo,01/02/2018,Hidalgo
Jalisco,2018-02,50,Jalisco,01/02/2018,Jalisco
Michoacán de Ocampo,2018-02,39,Michoacán,01/02/2018,Michoacán
Morelos,2018-02,67,Morelos,01/02/2018,Morelos
Nayarit,2018-02,43,Nayarit,01/02/2018,Nayarit
Nuevo León,2018-02,89,Nuevo León,01/02/2018,Nuevo León
Oaxaca,2018-02,0,Oaxaca,01/02/2018,Oaxaca
Puebla,2018-02,49,Puebla,01/02/2018,Puebla
Querétaro,2018-02,20,Querétaro,01/02/2018,Querétaro
Quintana Roo,2018-02,16,Quintana Roo,01/02/2018,Quintana Roo
San Luis Potosí,2018-02,11,San Luis Potosí,01/02/2018,San Luis Potosí
Sinaloa,2018-02,49,Sinaloa,01/02/2018,Sinaloa
Sonora,2018-02,18,Sonora,01/02/2018,Sonora
Tabasco,2018-02,60,Tabasco,01/02/2018,Tabasco
Tamaulipas,2018-02,94,Tamaulipas,01/02/2018,Tamaulipas
Tlaxcala,2018-02,13,Tlaxcala,01/02/2018,Tlaxcala
Veracruz de Ignacio de la Llave,2018-02,64,Veracruz,01/02/2018,Veracruz
Yucatán,2018-02,0,Yucatán,01/02/2018,Yucatán
Zacatecas,2018-02,27,Zacatecas,01/02/2018,Zacatecas
Aguascalientes,2018-03,33,Aguascalientes,01/03/2018,Aguascalientes
Baja California,2018-03,357,Baja California,01/03/2018,Baja California
Baja California Sur,2018-03,54,Baja California Sur,01/03/2018,Baja California Sur
Campeche,2018-03,23,Campeche,01/03/2018,Campeche
Chiapas,2018-03,73,Chiapas,01/03/2018,Chiapas
Chihuahua,2018-03,43,Chihuahua,01/03/2018,Chihuahua
Coahuila de Zaragoza,2018-03,40,Coahuila,01/03/2018,Coahuila
Colima,2018-03,50,Colima,01/03/2018,Colima
Ciudad de México,2018-03,89,Ciudad de México,01/03/2018,Ciudad de México
Durango,2018-03,12,Durango,01/03/2018,Durango
México,2018-03,49,México,01/03/2018,Estado de México
Guanajuato,2018-03,11,Guanajuato,01/03/2018,Guanajuato
Guerrero,2018-03,125,Guerrero,01/03/2018,Guerrero
Hidalgo,2018-03,37,Hidalgo,01/03/2018,Hidalgo
Jalisco,2018-03,38,Jalisco,01/03/2018,Jalisco
Michoacán de Ocampo,2018-03,27,Michoacán,01/03/2018,Michoacán
Morelos,2018-03,58,Morelos,01/03/2018,Morelos
Nayarit,2018-03,66,Nayarit,01/03/2018,Nayarit
Nuevo León,2018-03,75,Nuevo León,01/03/2018,Nuevo León
Oaxaca,2018-03,0,Oaxaca,01/03/2018,Oaxaca
Puebla,2018-03,81,Puebla,01/03/2018,Puebla
Querétaro,2018-03,29,Querétaro,01/03/2018,Querétaro
Quintana Roo,2018-03,21,Quintana Roo,01/03/2018,Quintana Roo
San Luis Potosí,2018-03,12,San Luis Potosí,01/03/2018,San Luis Potosí
Sinaloa,2018-03,51,Sinaloa,01/03/2018,Sinaloa
Sonora,2018-03,24,Sonora,01/03/2018,Sonora
Tabasco,2018-03,48,Tabasco,01/03/2018,Tabasco
Tamaulipas,2018-03,117,Tamaulipas,01/03/2018,Tamaulipas
Tlaxcala,2018-03,16,Tlaxcala,01/03/2018,Tlaxcala
Veracruz de Ignacio de la Llave,2018-03,79,Veracruz,01/03/2018,Veracruz
Yucatán,2018-03,0,Yucatán,01/03/2018,Yucatán
Zacatecas,2018-03,19,Zacatecas,01/03/2018,Zacatecas
Aguascalientes,2018-04,24,Aguascalientes,01/04/2018,Aguascalientes
Baja California,2018-04,370,Baja California,01/04/2018,Baja California
Baja California Sur,2018-04,74,Baja California Sur,01/04/2018,Baja California Sur
Campeche,2018-04,35,Campeche,01/04/2018,Campeche
Chiapas,2018-04,77,Chiapas,01/04/2018,Chiapas
Chihuahua,2018-04,49,Chihuahua,01/04/2018,Chihuahua
Coahuila de Zaragoza,2018-04,44,Coahuila,01/04/2018,Coahuila
Colima,2018-04,50,Colima,01/04/2018,Colima
Ciudad de México,2018-04,149,Ciudad de México,01/04/2018,Ciudad de México
Durango,2018-04,10,Durango,01/04/2018,Durango
México,2018-04,25,México,01/04/2018,Estado de México
Guanajuato,2018-04,0,Guanajuato,01/04/2018,Guanajuato
Guerrero,2018-04,121,Guerrero,01/04/2018,Guerrero
Hidalgo,2018-04,41,Hidalgo,01/04/2018,Hidalgo
Jalisco,2018-04,29,Jalisco,01/04/2018,Jalisco
Michoacán de Ocampo,2018-04,34,Michoacán,01/04/2018,Michoacán
Morelos,2018-04,63,Morelos,01/04/2018,Morelos
Nayarit,2018-04,59,Nayarit,01/04/2018,Nayarit
Nuevo León,2018-04,54,Nuevo León,01/04/2018,Nuevo León
Oaxaca,2018-04,0,Oaxaca,01/04/2018,Oaxaca
Puebla,2018-04,71,Puebla,01/04/2018,Puebla
Querétaro,2018-04,28,Querétaro,01/04/2018,Querétaro
Quintana Roo,2018-04,28,Quintana Roo,01/04/2018,Quintana Roo
San Luis Potosí,2018-04,12,San Luis Potosí,01/04/2018,San Luis Potosí
Sinaloa,2018-04,52,Sinaloa,01/04/2018,Sinaloa
Sonora,2018-04,33,Sonora,01/04/2018,Sonora
Tabasco,2018-04,37,Tabasco,01/04/2018,Tabasco
Tamaulipas,2018-04,124,Tamaulipas,01/04/2018,Tamaulipas
Tlaxcala,2018-04,20,Tlaxcala,01/04/2018,Tlaxcala
Veracruz de Ignacio de la Llave,2018-04,79,Veracruz,01/04/2018,Veracruz
Yucatán,2018-04,0,Yucatán,01/04/2018,Yucatán
Zacatecas,2018-04,21,Zacatecas,01/04/2018,Zacatecas
Aguascalientes,2018-05,38,Aguascalientes,01/05/2018,Aguascalientes
Baja California,2018-05,336,Baja California,01/05/2018,Baja California
Baja California Sur,2018-05,61,Baja California Sur,01/05/2018,Baja California Sur
Campeche,2018-05,38,Campeche,01/05/2018,Campeche
Chiapas,2018-05,61,Chiapas,01/05/2018,Chiapas
Chihuahua,2018-05,43,Chihuahua,01/05/2018,Chihuahua
Coahuila de Zaragoza,2018-05,47,Coahuila,01/05/2018,Coahuila
Colima,2018-05,50,Colima,01/05/2018,Colima
Ciudad de México,2018-05,121,Ciudad de México,01/05/2018,Ciudad de México
Durango,2018-05,10,Durango,01/05/2018,Durango
México,2018-05,31,México,01/05/2018,Estado de México
Guanajuato,2018-05,5,Guanajuato,01/05/2018,Guanajuato
Guerrero,2018-05,105,Guerrero,01/05/2018,Guerrero
Hidalgo,2018-05,53,Hidalgo,01/05/2018,Hidalgo
Jalisco,2018-05,0,Jalisco,01/05/2018,Jalisco
Michoacán de Ocampo,2018-05,27,Michoacán,01/05/2018,Michoacán
Morelos,2018-05,44,Morelos,01/05/2018,Morelos
Nayarit,2018-05,54,Nayarit,01/05/2018,Nayarit
Nuevo León,2018-05,73,Nuevo León,01/05/2018,Nuevo León
Oaxaca,2018-05,0,Oaxaca,01/05/2018,Oaxaca
Puebla,2018-05,64,Puebla,01/05/2018,Puebla
Querétaro,2018-05,35,Querétaro,01/05/2018,Querétaro
Quintana Roo,2018-05,23,Quintana Roo,01/05/2018,Quintana Roo
San Luis Potosí,2018-05,12,San Luis Potosí,01/05/2018,San Luis Potosí
Sinaloa,2018-05,53,Sinaloa,01/05/2018,Sinaloa
Sonora,2018-05,38,Sonora,01/05/2018,Sonora
Tabasco,2018-05,45,Tabasco,01/05/2018,Tabasco
Tamaulipas,2018-05,130,Tamaulipas,01/05/2018,Tamaulipas
Tlaxcala,2018-05,38,Tlaxcala,01/05/2018,Tlaxcala
Veracruz de Ignacio de la Llave,2018-05,103,Veracruz,01/05/2018,Veracruz
Yucatán,2018-05,0,Yucatán,01/05/2018,Yucatán
Zacatecas,2018-05,0,Zacatecas,01/05/2018,Zacatecas
Aguascalientes,2018-06,33,Aguascalientes,01/06/2018,Aguascalientes
Baja California,2018-06,410,Baja California,01/06/2018,Baja California
Baja California Sur,2018-06,69,Baja California Sur,01/06/2018,Baja California Sur
Campeche,2018-06,39,Campeche,01/06/2018,Campeche
Chiapas,2018-06,73,Chiapas,01/06/2018,Chiapas
Chihuahua,2018-06,49,Chihuahua,01/06/2018,Chihuahua
Coahuila de Zaragoza,2018-06,42,Coahuila,01/06/2018,Coahuila
Colima,2018-06,43,Colima,01/06/2018,Colima
Ciudad de México,2018-06,118,Ciudad de México,01/06/2018,Ciudad de México
Durango,2018-06,13,Durango,01/06/2018,Durango
México,2018-06,45,México,01/06/2018,Estado de México
Guanajuato,2018-06,7,Guanajuato,01/06/2018,Guanajuato
Guerrero,2018-06,30,Guerrero,01/06/2018,Guerrero
Hidalgo,2018-06,41,Hidalgo,01/06/2018,Hidalgo
Jalisco,2018-06,0,Jalisco,01/06/2018,Jalisco
Michoacán de Ocampo,2018-06,30,Michoacán,01/06/2018,Michoacán
Morelos,2018-06,19,Morelos,01/06/2018,Morelos
Nayarit,2018-06,55,Nayarit,01/06/2018,Nayarit
Nuevo León,2018-06,73,Nuevo León,01/06/2018,Nuevo León
Oaxaca,2018-06,0,Oaxaca,01/06/2018,Oaxaca
Puebla,2018-06,57,Puebla,01/06/2018,Puebla
Querétaro,2018-06,27,Querétaro,01/06/2018,Querétaro
Quintana Roo,2018-06,31,Quintana Roo,01/06/2018,Quintana Roo
San Luis Potosí,2018-06,12,San Luis Potosí,01/06/2018,San Luis Potosí
Sinaloa,2018-06,53,Sinaloa,01/06/2018,Sinaloa
Sonora,2018-06,32,Sonora,01/06/2018,Sonora
Tabasco,2018-06,68,Tabasco,01/06/2018,Tabasco
Tamaulipas,2018-06,112,Tamaulipas,01/06/2018,Tamaulipas
Tlaxcala,2018-06,32,Tlaxcala,01/06/2018,Tlaxcala
Veracruz de Ignacio de la Llave,2018-06,94,Veracruz,01/06/2018,Veracruz
Yucatán,2018-06,0,Yucatán,01/06/2018,Yucatán
Zacatecas,2018-06,18,Zacatecas,01/06/2018,Zacatecas
Aguascalientes,2018-07,23,Aguascalientes,01/07/2018,Aguascalientes
Baja California,2018-07,307,Baja California,01/07/2018,Baja California
Baja California Sur,2018-07,64,Baja California Sur,01/07/2018,Baja California Sur
Campeche,2018-07,37,Campeche,01/07/2018,Campeche
Chiapas,2018-07,83,Chiapas,01/07/2018,Chiapas
Chihuahua,2018-07,38,Chihuahua,01/07/2018,Chihuahua
Coahuila de Zaragoza,2018-07,63,Coahuila,01/07/2018,Coahuila
Colima,2018-07,45,Colima,01/07/2018,Colima
Ciudad de México,2018-07,90,Ciudad de México,01/07/2018,Ciudad de México
Durango,2018-07,9,Durango,01/07/2018,Durango
México,2018-07,53,México,01/07/2018,Estado de México
Guanajuato,2018-07,11,Guanajuato,01/07/2018,Guanajuato
Guerrero,2018-07,34,Guerrero,01/07/2018,Guerrero
Hidalgo,2018-07,50,Hidalgo,01/07/2018,Hidalgo
Jalisco,2018-07,13,Jalisco,01/07/2018,Jalisco
Michoacán de Ocampo,2018-07,31,Michoacán,01/07/2018,Michoacán
Morelos,2018-07,25,Morelos,01/07/2018,Morelos
Nayarit,2018-07,62,Nayarit,01/07/2018,Nayarit
Nuevo León,2018-07,44,Nuevo León,01/07/2018,Nuevo León
Oaxaca,2018-07,30,Oaxaca,01/07/2018,Oaxaca
Puebla,2018-07,72,Puebla,01/07/2018,Puebla
Querétaro,2018-07,26,Querétaro,01/07/2018,Querétaro
Quintana Roo,2018-07,32,Quintana Roo,01/07/2018,Quintana Roo
San Luis Potosí,2018-07,14,San Luis Potosí,01/07/2018,San Luis Potosí
Sinaloa,2018-07,48,Sinaloa,01/07/2018,Sinaloa
Sonora,2018-07,35,Sonora,01/07/2018,Sonora
Tabasco,2018-07,64,Tabasco,01/07/2018,Tabasco
Tamaulipas,2018-07,124,Tamaulipas,01/07/2018,Tamaulipas
Tlaxcala,2018-07,30,Tlaxcala,01/07/2018,Tlaxcala
Veracruz de Ignacio de la Llave,2018-07,98,Veracruz,01/07/2018,Veracruz
Yucatán,2018-07,0,Yucatán,01/07/2018,Yucatán
Zacatecas,2018-07,19,Zacatecas,01/07/2018,Zacatecas
Aguascalientes,2018-08,40,Aguascalientes,01/08/2018,Aguascalientes
Baja California,2018-08,246,Baja California,01/08/2018,Baja California
Baja California Sur,2018-08,66,Baja California Sur,01/08/2018,Baja California Sur
Campeche,2018-08,30,Campeche,01/08/2018,Campeche
Chiapas,2018-08,88,Chiapas,01/08/2018,Chiapas
Chihuahua,2018-08,7,Chihuahua,01/08/2018,Chihuahua
Coahuila de Zaragoza,2018-08,53,Coahuila,01/08/2018,Coahuila
Colima,2018-08,54,Colima,01/08/2018,Colima
Ciudad de México,2018-08,35,Ciudad de México,01/08/2018,Ciudad de México
Durango,2018-08,17,Durango,01/08/2018,Durango
México,2018-08,25,México,01/08/2018,Estado de México
Guanajuato,2018-08,2,Guanajuato,01/08/2018,Guanajuato
Guerrero,2018-08,34,Guerrero,01/08/2018,Guerrero
Hidalgo,2018-08,78,Hidalgo,01/08/2018,Hidalgo
Jalisco,2018-08,0,Jalisco,01/08/2018,Jalisco
Michoacán de Ocampo,2018-08,41,Michoacán,01/08/2018,Michoacán
Morelos,2018-08,37,Morelos,01/08/2018,Morelos
Nayarit,2018-08,17,Nayarit,01/08/2018,Nayarit
Nuevo León,2018-08,1,Nuevo León,01/08/2018,Nuevo León
Oaxaca,2018-08,37,Oaxaca,01/08/2018,Oaxaca
Puebla,2018-08,58,Puebla,01/08/2018,Puebla
Querétaro,2018-08,39,Querétaro,01/08/2018,Querétaro
Quintana Roo,2018-08,26,Quintana Roo,01/08/2018,Quintana Roo
San Luis Potosí,2018-08,26,San Luis Potosí,01/08/2018,San Luis Potosí
Sinaloa,2018-08,69,Sinaloa,01/08/2018,Sinaloa
Sonora,2018-08,40,Sonora,01/08/2018,Sonora
Tabasco,2018-08,88,Tabasco,01/08/2018,Tabasco
Tamaulipas,2018-08,106,Tamaulipas,01/08/2018,Tamaulipas
Tlaxcala,2018-08,29,Tlaxcala,01/08/2018,Tlaxcala
Veracruz de Ignacio de la Llave,2018-08,54,Veracruz,01/08/2018,Veracruz
Yucatán,2018-08,0,Yucatán,01/08/2018,Yucatán
Zacatecas,2018-08,0,Zacatecas,01/08/2018,Zacatecas
Aguascalientes,2018-09,36,Aguascalientes,01/09/2018,Aguascalientes
Baja California,2018-09,325,Baja California,01/09/2018,Baja California
Baja California Sur,2018-09,69,Baja California Sur,01/09/2018,Baja California Sur
Campeche,2018-09,22,Campeche,01/09/2018,Campeche
Chiapas,2018-09,67,Chiapas,01/09/2018,Chiapas
Chihuahua,2018-09,51,Chihuahua,01/09/2018,Chihuahua
Coahuila de Zaragoza,2018-09,47,Coahuila,01/09/2018,Coahuila
Colima,2018-09,39,Colima,01/09/2018,Colima
Ciudad de México,2018-09,55,Ciudad de México,01/09/2018,Ciudad de México
Durango,2018-09,16,Durango,01/09/2018,Durango
México,2018-09,36,México,01/09/2018,Estado de México
Guanajuato,2018-09,0,Guanajuato,01/09/2018,Guanajuato
Guerrero,2018-09,24,Guerrero,01/09/2018,Guerrero
Hidalgo,2018-09,55,Hidalgo,01/09/2018,Hidalgo
Jalisco,2018-09,34,Jalisco,01/09/2018,Jalisco
Michoacán de Ocampo,2018-09,33,Michoacán,01/09/2018,Michoacán
Morelos,2018-09,31,Morelos,01/09/2018,Morelos
Nayarit,2018-09,51,Nayarit,01/09/2018,Nayarit
Nuevo León,2018-09,13,Nuevo León,01/09/2018,Nuevo León
Oaxaca,2018-09,31,Oaxaca,01/09/2018,Oaxaca
Puebla,2018-09,58,Puebla,01/09/2018,Puebla
Querétaro,2018-09,27,Querétaro,01/09/2018,Querétaro
Quintana Roo,2018-09,13,Quintana Roo,01/09/2018,Quintana Roo
San Luis Potosí,2018-09,32,San Luis Potosí,01/09/2018,San Luis Potosí
Sinaloa,2018-09,48,Sinaloa,01/09/2018,Sinaloa
Sonora,2018-09,28,Sonora,01/09/2018,Sonora
Tabasco,2018-09,91,Tabasco,01/09/2018,Tabasco
Tamaulipas,2018-09,114,Tamaulipas,01/09/2018,Tamaulipas
Tlaxcala,2018-09,26,Tlaxcala,01/09/2018,Tlaxcala
Veracruz de Ignacio de la Llave,2018-09,75,Veracruz,01/09/2018,Veracruz
